alpha dTheta leftEnc rightEnc
0.9411 0.0 0 0
0.9411 -0.0017809482163207398 -99.0 -101.0
0.9411 0.018699956271367835 -314.0 -293.0
0.9411 0.02671422324481116 -324.0 -294.0
0.9411 0.023152326812169655 -270.0 -244.0
0.9411 0.02760469735297157 -324.0 -293.0
0.9411 0.025823749136650795 -273.0 -244.0
0.9411 0.02493327502849048 -321.0 -293.0
0.9411 0.024042800920330065 -320.0 -293.0
0.9411 0.024042800920330065 -320.0 -293.0
0.9411 0.02226185270400929 -269.0 -244.0
0.9411 0.024042800920330065 -272.0 -245.0
0.9411 0.01691900805504706 -263.0 -244.0
0.9411 0.0195904303795282 -267.0 -245.0
0.9411 0.03383801611009416 -330.0 -292.0
0.9411 0.03383801611009416 -283.0 -245.0
0.9411 0.032947542001933755 -281.0 -244.0
0.9411 0.024042800920330065 -272.0 -245.0
0.9411 0.018699956271367835 -265.0 -244.0
0.9411 0.023152326812169655 -270.0 -244.0
0.9411 0.032947542001933755 -281.0 -244.0
0.9411 0.036509438434575256 -285.0 -244.0
0.9411 0.029385645569292296 -278.0 -245.0
0.9411 0.02760469735297152 -275.0 -244.0
0.9411 0.02582374913665084 -322.0 -293.0
0.9411 0.02493327502849048 -321.0 -293.0
0.9411 0.018699956271367835 -266.0 -245.0
0.9411 0.008904741081603735 -254.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0008904741081603641 -245.0 -244.0
0.9411 -0.0008904741081603641 -244.0 -245.0
0.9411 0.0008904741081603641 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0008904741081603641 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0008904741081603641 -245.0 -244.0
0.9411 -0.0017809482163207754 -292.0 -294.0
0.9411 0.0008904741081603877 -178.0 -177.0
0.9411 0.0 -1.0 -1.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
0.9411 0.0 0.0 0.0
alpha dTheta leftEnc rightEnc
0.9411 0.0 0 0
0.9411 0.003561896432641492 -100.0 -96.0
0.9411 0.010685689297924463 -309.0 -297.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0008904741081603641 -245.0 -244.0
0.9411 -0.0008904741081604112 -293.0 -294.0
0.9411 0.0008904741081603641 -293.0 -292.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0008904741081603641 -244.0 -245.0
0.9411 0.0008904741081603641 -245.0 -244.0
0.9411 -0.0008904741081603641 -244.0 -245.0
