desired_tick_rate_L desired_tick_rate_R state_est_x state_est_y state_est_theta deltaleftEnc deltarightEnc
-51.2 -51.2 0.0 0.0 0.0 0 0
-100.0 -100.0 0.000157746031536 0.0 0.0 1.0 1.0
-100 -100 0.00662533332451 0.0 0.00429240902139 39.0 43.0
-100 -100 0.0419601188683 0.000151672283747 0.0128772270642 220.0 228.0
-100 -100 0.0958259222353 0.000845352807845 -0.0160965338302 355.0 328.0
-100 -100 0.173505778317 -0.00040513162487 0.00858481804277 481.0 504.0
-100 -100 0.242753734327 0.00018936408198 0.0107310225535 438.0 440.0
-100 -100 0.311605912571 0.000928246721764 0.0139503293195 435.0 438.0
-100 -100 0.380376489999 0.00188768116424 0.0225351473623 432.0 440.0
-100 -100 0.449372855777 0.00344278768815 0.0171696360855 440.0 435.0
-100 -100 0.517745681178 0.00461683958946 0.0139503293195 435.0 432.0
-100 -100 0.586673989289 0.00557847456965 0.0118041248088 438.0 436.0
-100 -100 0.654894394826 0.00638379415517 0.0128772270642 432.0 433.0
-100 -100 0.722246365654 0.00725114871971 0.0107310225535 428.0 426.0
-100 -100 0.790230990679 0.00798072126896 -8.881784197e-16 436.0 426.0
-100 -100 0.858692768365 0.00798072126896 0.00214620451069 433.0 435.0
-100 -100 0.926207914369 0.00812562280233 -8.881784197e-16 429.0 427.0
-100 -100 0.99364434285 0.00812562280233 -0.00321930676604 429.0 426.0
-100 -100 1.06265787402 0.00790344630695 -0.0021462045107 437.0 438.0
-100 -100 1.13182934954 0.00775498994623 -0.00107310225535 438.0 439.0
-100 -100 1.20068545266 0.00768110027832 0.00643861353208 433.0 440.0
-100 -100 1.26804161195 0.00811478654995 0.00643861353208 427.0 427.0
-100 -100 1.33508228572 0.00854644150415 0.00858481804277 424.0 426.0
-100 -100 1.40354154064 0.00913416618928 0.00858481804277 434.0 434.0
-100 -100 1.47176418522 0.0097198595679 0.00107310225534 436.0 429.0
-100 -100 1.53809635329 0.00979104079438 0.00643861353208 418.0 423.0
-100 -100 1.61649450591 0.0102958231761 0.00214620451069 499.0 495.0
-100 -100 1.68519274443 0.0104432638719 -0.00536551127674 439.0 432.0
-100 -100 1.7522338428 0.0100835506506 0.00536551127673 420.0 430.0
-100 -100 1.82006365999 0.0104474957921 0.00751171578742 429.0 431.0
-100 -100 1.89940767527 0.0110435166947 -0.00321930676604 508.0 498.0
-100 -100 1.96629164605 0.0108281959312 -0.00107310225535 423.0 425.0
-100 -100 2.03443789243 0.0107550680124 0.00751171578742 428.0 436.0
-100 -100 2.10289773862 0.0112693285924 0.00321930676604 436.0 432.0
-100 -100 2.18161260046 0.0115227367552 -0.00536551127674 503.0 495.0
-100 -100 2.24857482696 0.0111634467259 0.00214620451069 421.0 428.0
-100 -100 2.31522237178 0.0113064862069 0.00321930676604 422.0 423.0
-100 -100 2.38273732342 0.0115238382984 -0.00107310225535 430.0 426.0
-100 -100 2.46247789645 0.0114382684768 0.0150234315749 498.0 513.0
