desired_tick_rate_L desired_tick_rate_R state_est_x state_est_y state_est_theta deltaleftEnc deltarightEnc
-25 25 0.0 0.0 0.0 0 0
-25 25 0.0 0.0 0.0 0.0 0.0
-25 25 -0.000630984126144 0.0 -0.0343392721711 12.0 -20.0
-25 25 -0.00126159626514 2.16632775533e-05 -0.203889428516 75.0 -83.0
-25 25 -0.00172503192193 0.000117484393203 -0.439971924692 107.0 -113.0
-25 25 -0.00201047766339 0.000251856899857 -0.693224056954 116.0 -120.0
-25 25 -0.00261716083832 0.000755871569179 -0.957207211769 118.0 -128.0
-25 25 -0.00257174531612 0.000691386043984 -1.26089515003 142.0 -141.0
-25 25 -0.00261985225927 0.000841617640149 -1.5356093274 127.0 -129.0
-25 25 -0.00261430279507 0.000683969253185 -1.81032350477 129.0 -127.0
0 0 -0.00263301489197 0.000607348041722 -2.03889428516 107.0 -106.0
