alpha dTheta leftEnc rightEnc
0.9411 0.0 0 0
0.9411 -0.001009203989248411 -93.0 -94.0
0.9411 0.0010092039892484347 -294.0 -293.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0010092039892484347 -293.0 -292.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0020184079784968693 -294.0 -292.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0010092039892484347 -293.0 -292.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0010092039892484347 -293.0 -292.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -292.0 -293.0
0.9411 0.0 -294.0 -294.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -293.0 -293.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0010092039892484347 -293.0 -292.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -292.0 -293.0
0.9411 0.0010092039892484347 -294.0 -293.0
0.9411 0.0 -293.0 -293.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -293.0 -293.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -293.0 -293.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0010092039892484347 -293.0 -292.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0010092039892484347 -293.0 -292.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0020184079784968693 -294.0 -292.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -293.0 -293.0

Total distance: ~369cm
alpha dTheta leftEnc rightEnc
0.9411 0.0 0 0
0.9411 0.005046019946242114 -100.0 -95.0
0.9411 0.006055223935490513 -298.0 -292.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
