alpha dTheta leftEnc rightEnc
0.9411 0.0 0 0
0.9411 0.0 -96.0 -96.0
0.9411 0.002018407978496822 -295.0 -293.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0010092039892484347 -293.0 -292.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -293.0 -293.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892484347 -292.0 -293.0
0.9411 0.0010092039892484347 -294.0 -293.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0010092039892484347 -293.0 -292.0
0.9411 -0.0010092039892484347 -293.0 -294.0
0.9411 0.0 -293.0 -293.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0010092039892483874 -245.0 -244.0
0.9411 0.0 -244.0 -244.0
0.9411 -0.0010092039892483874 -244.0 -245.0
0.9411 0.0 -244.0 -244.0
0.9411 0.0 -245.0 -245.0
0.9411 0.0 -244.0 -244.0

Ran for  -30143.0 ticks, and deviated by theta = 0.0020184079784966802 .
~368 +/- 1 cm
