desired_tick_rate_L desired_tick_rate_R state_est_x state_est_y state_est_theta deltaleftEnc deltarightEnc
51.2 51.2 0.0 0.0 0.0 0 0
100.0 100.0 0.0 0.0 0.0 0.0 0.0
100 100 -0.006453354909249033 0.0 -0.013119651860229453 -37.0 -50.0
100 100 -0.038717352531767446 0.00042331670453872675 -0.01614726382797471 -216.0 -219.0
100 100 -0.09070829562874841 0.0012629011500990537 -0.013119651860229453 -352.0 -349.0
100 100 -0.15175029572836368 0.002063796892249334 -0.014128855849477873 -411.0 -412.0
100 100 -0.21575822005983455 0.0029682158105657384 -0.023211691752713648 -427.0 -436.0
100 100 -0.26952169097253975 0.004216381096259643 -0.024220895741962067 -362.0 -363.0
100 100 -0.32313556538045013 0.005515211155543601 -0.015138059838726292 -366.0 -357.0
100 100 -0.3769073611738092 0.006329274002628806 -0.01816567180647155 -361.0 -364.0
100 100 -0.442023576831387 0.0075122839361995725 -0.01816567180647155 -439.0 -439.0
100 100 -0.5071397924889648 0.008695293869770339 -0.014128855849477873 -441.0 -437.0
100 100 -0.5715185622684743 0.009604952758644775 -0.01816567180647155 -432.0 -436.0
100 100 -0.6349290000671406 0.010756972682566193 -0.015138059838726292 -429.0 -426.0
100 100 -0.6990843150481827 0.011728233872536816 -0.014128855849477873 -433.0 -432.0
100 100 -0.7529310741033945 0.01248907759756313 -0.02018407978496839 -360.0 -366.0
100 100 -0.8163390574913427 0.013769083221507102 -0.02119328377421681 -427.0 -428.0
100 100 -0.869437499674677 0.014894582087631688 -0.015138059838726292 -361.0 -355.0
100 100 -0.9337411506441147 0.015868088968214962 -0.006055223935490517 -438.0 -429.0
100 100 -0.9988669177219216 0.016262444891636973 -0.008073631913987356 -438.0 -440.0
100 100 -1.0527172966655807 0.016697222476477442 -0.012110447870981034 -361.0 -365.0
100 100 -1.1058979422435289 0.017341295400013324 -0.015138059838726292 -357.0 -360.0
100 100 -1.158779722106515 0.018141884103422636 -0.010092039892484195 -359.0 -354.0
100 100 -1.211145659483206 0.01867038117490419 -0.01816567180647155 -349.0 -357.0
100 100 -1.2743336045176665 0.019818358923653957 -0.01816567180647155 -426.0 -426.0
100 100 -1.3393014916657737 0.02099867407377695 -0.01816567180647155 -438.0 -438.0
100 100 -1.3924030980562359 0.021963406548078396 -0.008073631913987356 -363.0 -353.0
100 100 -1.4551543660814914 0.022470048196528862 -0.008073631913987356 -423.0 -423.0
100 100 -1.5083371783440307 0.022899435976598582 -0.0030276119677452584 -361.0 -356.0
100 100 -1.5729446078187235 0.02309504280095415 0.00403681595699369 -439.0 -432.0
100 100 -1.6356974097645465 0.022841719912671636 -0.002018407978496839 -420.0 -426.0
100 100 -1.6985247715345775 0.022968531333144894 -0.007064427924738936 -421.0 -426.0
100 100 -1.7522272125497564 0.023347914668286354 -0.013119651860229453 -359.0 -365.0
100 100 -1.8057038614827123 0.024049549941786173 -0.006055223935490517 -364.0 -357.0
100 100 -1.8582940310250418 0.024367999087237434 -0.0030276119677452584 -356.0 -353.0
100 100 -1.92230805127379 0.02456180929322923 -0.006055223935490517 -430.0 -433.0
100 100 -1.9860986659513686 0.024948080471068557 -0.006055223935490517 -430.0 -430.0
100 100 -2.038688835493698 0.025266529616519817 -0.0010092039892484195 -357.0 -352.0
100 100 -2.1015904697031327 0.025330010218245734 -0.009082835903235775 -420.0 -428.0
100 100 -2.1647862350690192 0.02590402276987519 -0.011101243881732614 -425.0 -427.0
100 100 -2.2176708158754153 0.026491131517149068 -0.004036815956993678 -360.0 -353.0
100 100 -2.2807944972653624 0.026745951585622374 -0.009082835903235775 -423.0 -428.0
100 100 -2.333457635070268 0.02722429537864692 -0.009082835903235775 -355.0 -355.0
100 100 -2.385824079141061 0.027699944277062877 -0.005046019946242097 -355.0 -351.0
100 100 -2.4490216467689803 0.02801884317050687 -0.0010092039892484195 -428.0 -424.0
100 100 -2.5113298693349297 0.0280817248986316 -0.0030276119677452584 -419.0 -421.0
100 100 -2.5636982335245198 0.02824027646923439 0.0010092039892484802 -355.0 -351.0
100 100 -2.6272674558328752 0.028176122134707132 0.006055223935490559 -431.0 -426.0
100 100 -2.6902421440436477 0.027794791634723887 0.007064427924738994 -425.0 -424.0
100 100 -2.7423869175708173 0.02742641251234205 0.0020184079784969144 -349.0 -354.0
100 100 -2.805585161051415 0.02729885250024852 1.3964523981613297e-16 -425.0 -427.0
100 100 -2.86863518027971 0.02729885250024851 0.004036815956993784 -427.0 -423.0
100 100 -2.931017102781409 0.027047026792156786 0.0010092039892485743 -419.0 -422.0
100 100 -2.993992913446279 0.02698347133123071 -0.002018407978496839 -423.0 -426.0
100 100 -3.056746098874197 0.027110133033379915 0.004036815956993721 -426.0 -420.0
100 100 -3.119424724931195 0.02685710958113556 0.005046019946242156 -423.0 -422.0
100 100 -3.1713476091325368 0.026595103448024293 0.0010092039892484654 -348.0 -352.0
100 100 -3.2341008904311 0.02653177256469867 -0.0010092039892484195 -422.0 -424.0
