10cm,15cm,20cm,25cm,30cm,35cm,40cm,50cm,60cm,70cm,80cm,90cm,100cm,120cm,140cm
543.0,747.0,824.0,763.0,677.0,592.0,520.0,409.0,337.0,300.0,272.0,273.0,260.0,217.0,246.0
550.0,748.0,825.0,764.0,679.0,598.0,518.0,408.0,341.0,298.0,272.0,278.0,265.0,211.0,222.0
548.0,745.0,822.0,765.0,680.0,594.0,520.0,409.0,336.0,297.0,273.0,278.0,255.0,215.0,247.0
548.0,747.0,824.0,760.0,681.0,591.0,528.0,408.0,339.0,296.0,270.0,285.0,263.0,210.0,249.0
544.0,744.0,825.0,753.0,676.0,601.0,517.0,409.0,337.0,300.0,270.0,272.0,260.0,223.0,238.0
551.0,750.0,823.0,764.0,677.0,598.0,522.0,408.0,338.0,296.0,272.0,282.0,260.0,219.0,243.0
550.0,745.0,826.0,762.0,678.0,599.0,521.0,404.0,341.0,298.0,270.0,282.0,260.0,216.0,242.0
546.0,750.0,825.0,762.0,680.0,596.0,517.0,407.0,338.0,298.0,276.0,277.0,264.0,217.0,241.0
545.0,748.0,829.0,760.0,680.0,595.0,519.0,410.0,338.0,296.0,275.0,285.0,253.0,217.0,254.0
547.0,743.0,824.0,761.0,679.0,597.0,517.0,412.0,336.0,293.0,271.0,279.0,254.0,226.0,243.0
548.0,736.0,822.0,759.0,679.0,599.0,529.0,409.0,342.0,295.0,273.0,278.0,256.0,208.0,235.0
551.0,746.0,824.0,763.0,677.0,592.0,519.0,409.0,338.0,296.0,272.0,276.0,255.0,225.0,247.0
547.0,745.0,824.0,765.0,677.0,596.0,520.0,410.0,338.0,300.0,271.0,277.0,256.0,217.0,239.0
544.0,746.0,825.0,760.0,679.0,591.0,520.0,414.0,338.0,297.0,272.0,276.0,268.0,218.0,243.0
544.0,754.0,825.0,763.0,681.0,595.0,520.0,408.0,338.0,295.0,271.0,280.0,257.0,217.0,228.0
548.0,742.0,830.0,764.0,680.0,597.0,519.0,405.0,340.0,295.0,269.0,280.0,262.0,211.0,240.0
543.0,744.0,822.0,763.0,677.0,592.0,519.0,409.0,338.0,296.0,271.0,282.0,264.0,208.0,244.0
546.0,746.0,823.0,761.0,681.0,595.0,519.0,410.0,338.0,296.0,270.0,278.0,258.0,219.0,243.0
545.0,745.0,825.0,761.0,677.0,593.0,519.0,408.0,340.0,296.0,270.0,285.0,269.0,224.0,236.0
546.0,742.0,826.0,760.0,682.0,591.0,521.0,407.0,338.0,298.0,272.0,281.0,255.0,217.0,259.0
552.0,747.0,826.0,757.0,678.0,607.0,520.0,408.0,339.0,295.0,270.0,279.0,261.0,217.0,250.0
546.0,743.0,825.0,758.0,679.0,594.0,520.0,409.0,340.0,298.0,280.0,270.0,261.0,211.0,242.0
543.0,751.0,826.0,764.0,677.0,597.0,521.0,412.0,340.0,292.0,273.0,279.0,255.0,212.0,228.0
541.0,744.0,826.0,760.0,679.0,593.0,518.0,411.0,341.0,296.0,271.0,272.0,260.0,212.0,241.0
554.0,746.0,826.0,763.0,676.0,589.0,520.0,410.0,338.0,296.0,272.0,278.0,259.0,224.0,241.0
549.0,744.0,825.0,763.0,679.0,592.0,524.0,404.0,337.0,295.0,272.0,273.0,266.0,229.0,246.0
545.0,744.0,825.0,764.0,680.0,595.0,520.0,408.0,337.0,295.0,278.0,278.0,261.0,217.0,242.0
548.0,746.0,826.0,760.0,679.0,606.0,516.0,408.0,340.0,296.0,272.0,321.0,252.0,219.0,240.0
547.0,745.0,824.0,760.0,680.0,596.0,517.0,405.0,342.0,297.0,273.0,605.0,258.0,217.0,236.0
546.0,751.0,829.0,754.0,677.0,598.0,517.0,414.0,337.0,296.0,272.0,565.0,255.0,215.0,249.0
