 , 10cm, 15cm, 20cm, 25cm, 30cm, 35cm, 40cm, 50cm, 60cm, 70cm, 80cm, 90cm,100cm,120cm,140cm
0,573.0,794.0,783.0,704.0,643.0,550.0,480.0,381.0,320.0,269.0,238.0,214.0,199.0,161.0,135.0
1,570.0,795.0,785.0,709.0,651.0,553.0,480.0,378.0,313.0,267.0,236.0,213.0,200.0,155.0,138.0
2,573.0,798.0,786.0,706.0,648.0,556.0,478.0,383.0,315.0,268.0,237.0,211.0,196.0,154.0,128.0
3,572.0,798.0,780.0,705.0,645.0,552.0,478.0,389.0,313.0,268.0,237.0,215.0,201.0,159.0,136.0
4,574.0,795.0,781.0,705.0,653.0,549.0,481.0,380.0,316.0,267.0,235.0,215.0,194.0,171.0,133.0
5,572.0,796.0,778.0,705.0,647.0,551.0,478.0,382.0,316.0,270.0,240.0,212.0,194.0,159.0,136.0
6,583.0,803.0,781.0,706.0,651.0,553.0,481.0,382.0,314.0,269.0,240.0,214.0,198.0,158.0,135.0
7,574.0,793.0,781.0,705.0,649.0,556.0,477.0,380.0,316.0,267.0,237.0,212.0,197.0,159.0,134.0
8,575.0,797.0,778.0,708.0,649.0,548.0,481.0,384.0,318.0,269.0,237.0,231.0,199.0,162.0,136.0
9,570.0,796.0,780.0,711.0,639.0,555.0,481.0,380.0,314.0,266.0,237.0,217.0,192.0,155.0,136.0
10,573.0,798.0,784.0,707.0,648.0,548.0,480.0,382.0,316.0,269.0,240.0,211.0,197.0,155.0,135.0
11,572.0,799.0,779.0,708.0,652.0,553.0,482.0,382.0,314.0,270.0,238.0,212.0,197.0,155.0,139.0
12,573.0,797.0,781.0,707.0,647.0,550.0,482.0,381.0,317.0,269.0,240.0,213.0,198.0,159.0,138.0
13,571.0,797.0,782.0,707.0,649.0,553.0,480.0,380.0,316.0,269.0,237.0,213.0,198.0,155.0,136.0
14,573.0,793.0,780.0,706.0,650.0,555.0,481.0,380.0,315.0,265.0,237.0,216.0,199.0,156.0,136.0
15,570.0,797.0,778.0,709.0,650.0,549.0,479.0,380.0,317.0,268.0,236.0,213.0,193.0,154.0,136.0
16,573.0,799.0,781.0,707.0,650.0,548.0,480.0,381.0,317.0,270.0,239.0,213.0,196.0,156.0,136.0
17,574.0,797.0,780.0,711.0,648.0,554.0,483.0,382.0,315.0,269.0,237.0,214.0,193.0,156.0,129.0
18,573.0,798.0,779.0,709.0,650.0,553.0,479.0,380.0,314.0,268.0,238.0,214.0,196.0,160.0,135.0
19,576.0,792.0,780.0,706.0,652.0,553.0,484.0,378.0,314.0,271.0,237.0,213.0,195.0,156.0,136.0
20,571.0,799.0,780.0,704.0,651.0,554.0,475.0,381.0,315.0,269.0,237.0,213.0,195.0,162.0,137.0
21,576.0,803.0,780.0,705.0,651.0,554.0,481.0,382.0,321.0,271.0,240.0,211.0,195.0,162.0,135.0
22,574.0,796.0,787.0,714.0,650.0,555.0,482.0,383.0,315.0,267.0,239.0,214.0,200.0,160.0,137.0
23,570.0,797.0,778.0,706.0,650.0,550.0,478.0,383.0,321.0,268.0,239.0,214.0,198.0,156.0,136.0
24,573.0,800.0,780.0,708.0,653.0,548.0,481.0,380.0,313.0,269.0,238.0,216.0,196.0,155.0,136.0
25,570.0,798.0,780.0,704.0,650.0,554.0,482.0,381.0,316.0,268.0,235.0,213.0,192.0,156.0,132.0
26,572.0,797.0,776.0,706.0,649.0,556.0,481.0,383.0,317.0,268.0,236.0,216.0,195.0,161.0,137.0
27,571.0,800.0,783.0,711.0,651.0,553.0,481.0,379.0,323.0,268.0,237.0,216.0,195.0,161.0,138.0
28,576.0,798.0,781.0,706.0,650.0,561.0,475.0,381.0,315.0,270.0,237.0,214.0,196.0,162.0,135.0
29,573.0,800.0,779.0,708.0,650.0,555.0,480.0,377.0,312.0,269.0,239.0,212.0,194.0,155.0,136.0
30,573.0,795.0,786.0,705.0,646.0,556.0,481.0,381.0,315.0,267.0,238.0,213.0,195.0,156.0,137.0
31,570.0,800.0,783.0,705.0,649.0,553.0,477.0,380.0,315.0,268.0,239.0,213.0,192.0,154.0,129.0
32,575.0,799.0,780.0,706.0,644.0,549.0,482.0,379.0,315.0,271.0,241.0,213.0,196.0,165.0,136.0
33,569.0,798.0,778.0,707.0,649.0,559.0,483.0,381.0,315.0,270.0,235.0,219.0,193.0,159.0,134.0
34,576.0,793.0,781.0,713.0,651.0,556.0,478.0,382.0,317.0,269.0,239.0,212.0,199.0,158.0,132.0
35,573.0,796.0,780.0,703.0,650.0,554.0,482.0,381.0,314.0,266.0,237.0,213.0,196.0,162.0,137.0
36,570.0,797.0,780.0,704.0,651.0,556.0,479.0,381.0,315.0,269.0,237.0,214.0,194.0,158.0,135.0
37,573.0,797.0,780.0,718.0,650.0,549.0,482.0,378.0,317.0,277.0,238.0,213.0,195.0,162.0,137.0
38,573.0,797.0,777.0,704.0,643.0,558.0,476.0,382.0,316.0,271.0,236.0,215.0,198.0,162.0,137.0
39,574.0,792.0,780.0,710.0,653.0,549.0,482.0,381.0,316.0,271.0,242.0,216.0,193.0,160.0,136.0
40,574.0,798.0,780.0,713.0,652.0,555.0,481.0,380.0,315.0,269.0,236.0,215.0,195.0,152.0,138.0
41,571.0,797.0,778.0,703.0,648.0,550.0,481.0,380.0,316.0,273.0,238.0,213.0,198.0,167.0,136.0
42,571.0,796.0,781.0,721.0,649.0,556.0,481.0,382.0,310.0,268.0,237.0,211.0,196.0,162.0,136.0
43,573.0,798.0,782.0,703.0,653.0,551.0,483.0,380.0,316.0,268.0,239.0,212.0,198.0,158.0,134.0
44,569.0,802.0,780.0,706.0,648.0,555.0,482.0,381.0,317.0,272.0,240.0,218.0,195.0,165.0,135.0
45,573.0,797.0,781.0,714.0,650.0,554.0,480.0,381.0,314.0,270.0,237.0,214.0,196.0,155.0,137.0
46,575.0,803.0,783.0,713.0,647.0,552.0,483.0,382.0,315.0,268.0,238.0,212.0,198.0,162.0,136.0
47,571.0,799.0,780.0,707.0,652.0,552.0,480.0,383.0,319.0,268.0,238.0,211.0,194.0,156.0,136.0
48,572.0,797.0,776.0,707.0,650.0,554.0,483.0,380.0,318.0,265.0,238.0,212.0,198.0,154.0,139.0
49,569.0,797.0,778.0,705.0,649.0,553.0,481.0,380.0,315.0,270.0,240.0,213.0,196.0,165.0,136.0
50,574.0,796.0,781.0,705.0,651.0,549.0,481.0,377.0,315.0,270.0,237.0,213.0,195.0,162.0,136.0
51,574.0,798.0,779.0,704.0,650.0,555.0,477.0,380.0,317.0,270.0,236.0,218.0,195.0,155.0,136.0
52,574.0,800.0,780.0,711.0,652.0,549.0,480.0,385.0,317.0,268.0,237.0,214.0,192.0,153.0,136.0
53,573.0,798.0,770.0,715.0,651.0,550.0,480.0,379.0,318.0,267.0,236.0,214.0,199.0,158.0,135.0
