t,x,y,lum
0,-59.38686131,13.13868613,200.8519776
0.04166666667,-59.38476789,13.14277471,201.7850443
0.08333333333,-59.38415984,13.13745334,202.0167785
0.125,-59.38668666,13.13502544,201.9428095
0.1666666667,-59.38604736,13.13676456,200.9360701
0.2083333333,-59.38679705,13.1404016,201.7248513
0.25,-59.38750998,13.14022533,201.7686178
0.2916666667,-59.38443299,13.13774195,201.3822812
0.3333333333,-59.38042426,13.13503325,201.8506646
0.4166666667,-59.38282805,13.13690248,201.0358101
0.4583333333,-59.38626375,13.13957121,201.3132921
0.5,-59.38935244,13.13895166,200.7786108
0.5416666667,-59.37654636,13.14230821,201.2319304
0.5833333333,-59.38324177,13.13952468,201.2568179
0.625,-59.3845021,13.14128848,201.591769
0.6666666667,-59.38937087,13.13644604,201.5869111
0.7083333333,-59.38684017,13.13642654,201.6716361
0.75,-59.39428064,13.14607776,201.7015556
0.8333333333,-59.39156218,13.13316909,202.0305764
0.9166666667,-59.39329531,13.13099534,201.9333259
1,-59.39172097,13.14558385,201.9524313
1.041666667,-59.39153019,13.13134513,201.9226486
1.125,-59.40101672,13.1377883,202.3241614
1.208333333,-59.39372484,13.14583545,202.3939904
1.25,-59.38164565,13.13846362,202.7292173
1.291666667,-59.381626,13.13750895,202.658707
1.333333333,-59.38776551,13.14128025,202.9984
1.375,-59.37808661,13.14259853,203.3995619
1.416666667,-59.38687532,13.13970184,202.3433674
1.458333333,-59.38085867,13.13425225,202.2915847
1.5,-59.37990162,13.13897976,202.4975591
1.541666667,-59.38746712,13.13833296,202.3807252
1.583333333,-59.38250489,13.14067701,202.4391086
1.625,-59.38574045,13.14243585,202.7999617
1.666666667,-59.38524772,13.13144515,202.4605687
1.708333333,-59.38429249,13.13882672,202.5781757
1.75,-59.38414859,13.1398661,202.8061086
1.791666667,-59.38277977,13.13612881,202.7843546
1.833333333,-59.38428351,13.13845652,202.9582524
1.875,-59.38784871,13.14031953,202.6640767
1.916666667,-59.36785505,13.14520615,202.9735495
1.958333333,-59.22687795,13.15651781,203.4043003
2,-58.91570155,13.17524587,203.3702713
2.041666667,-58.55145933,13.12974674,203.3746
2.083333333,-58.32652955,13.16077079,203.432836
2.125,-57.83024808,13.10205975,203.9320224
2.166666667,-57.33905252,13.13103977,203.5537016
2.208333333,-56.62209238,13.09687506,203.4913111
2.25,-56.27424576,13.11968532,203.0626506
2.291666667,-55.48602346,13.08638462,203.4548254
2.333333333,-55.1108692,13.07692454,203.5848626
2.375,-54.39424785,13.06345401,203.7763208
2.416666667,-53.60152572,13.00034717,202.9377452
2.458333333,-53.159565,13.01644494,203.2799048
2.5,-52.43128257,13.02425334,202.7642468
2.541666667,-51.69879927,12.94245919,203.1960032
2.583333333,-51.14117547,12.99086055,203.2726508
2.625,-50.39271856,13.0117592,202.5454968
2.666666667,-49.5606467,13.02736253,202.3465815
2.708333333,-48.9631289,12.96746378,203.2070895
2.75,-48.31842028,12.8862115,156.7517707
2.791666667,-47.51600748,12.76681579,203.6054226
2.833333333,-46.93860302,12.78279858,203.5963205
2.875,-46.29832827,12.74413638,154.7357724
2.916666667,-45.420984,12.64167955,154.8031911
2.958333333,-44.64833178,12.60626653,155.4339968
3,-44.05996529,12.41272417,202.9854341
3.041666667,-43.40259553,12.22875336,155.3220095
3.083333333,-42.52583754,12.12774768,154.3410609
3.125,-42.05472398,12.09219121,202.7864936
3.166666667,-41.3826301,12.03304235,163.6453107
3.208333333,-40.61246063,11.96949666,203.8782261
3.25,-40.02188115,11.92187751,203.9300289
3.291666667,-39.33977098,11.86520333,203.2943482
3.333333333,-38.52131489,11.73207349,152.7083526
3.375,-37.84379288,11.59721634,150.7843537
3.416666667,-37.18239722,11.30639956,152.1903119
3.458333333,-36.3954679,11.15681544,151.7729146
3.5,-35.56940466,11.08078574,152.2497476
3.541666667,-35.06531686,10.99872383,151.9084441
3.583333333,-34.36255553,10.87572928,151.3389617
3.625,-33.49782881,10.60156533,151.9396242
3.666666667,-32.75637258,10.28471788,152.5485174
3.708333333,-32.14764878,10.14483469,151.4292484
3.75,-31.3758782,10.02583746,150.0948686
3.791666667,-30.5012262,9.803295695,152.0299363
3.833333333,-29.64097559,9.614061296,151.9785176
3.875,-28.99104383,9.278456663,150.6733662
3.916666667,-28.35206533,9.13685713,148.9709006
3.958333333,-27.49191172,9.021172892,151.599327
4,-26.79463096,8.892295723,151.6424363
4.041666667,-26.18034254,8.811836986,149.8980383
4.083333333,-25.44920828,8.473025437,150.659746
4.125,-24.68645881,8.223851455,149.8526847
4.166666667,-24.16847109,8.11921817,150.3142843
4.208333333,-23.41907976,8.025487141,152.1646317
4.25,-22.82147534,7.803455148,149.972242
4.291666667,-22.22309389,7.536146882,149.272524
