t,x,y,lum
0,-59.91814461,-22.12434223,202.362224
0.04166666667,-59.90997881,-22.13018366,202.6100662
0.08333333333,-59.90605258,-22.12788979,202.7157893
0.125,-59.90866088,-22.13525562,202.0845063
0.1666666667,-59.9078082,-22.13307444,202.2573931
0.2083333333,-59.90627249,-22.1210722,202.4455755
0.25,-59.91020928,-22.13062624,202.0218585
0.2916666667,-59.91268701,-22.12495489,202.0418742
0.3333333333,-59.90085708,-22.12943286,201.7120252
0.4166666667,-59.9076421,-22.13072752,201.488673
0.4583333333,-59.91448811,-22.13050085,201.745022
0.5,-59.91373249,-22.14106945,201.7161509
0.5416666667,-59.90996925,-22.11907494,201.5988962
0.5833333333,-59.90617356,-22.13643184,201.5324245
0.625,-59.90971585,-22.13512946,201.3509497
0.6666666667,-59.90696532,-22.12437999,201.6396164
0.7083333333,-59.91075277,-22.11825449,201.6727736
0.75,-59.91224346,-22.1270894,201.4982987
0.8333333333,-59.91717554,-22.12606816,201.2962516
0.9166666667,-59.92140318,-22.1331581,201.575205
1,-59.91568666,-22.12606688,202.2774164
1.041666667,-59.91767866,-22.1377296,201.9780883
1.125,-59.93338493,-22.13526579,202.4171132
1.208333333,-59.92430478,-22.1330941,202.6923091
1.25,-59.91651629,-22.11944889,202.3651041
1.291666667,-59.91414253,-22.12808202,203.0838675
1.333333333,-59.91476118,-22.12890082,203.2748899
1.375,-59.9092694,-22.13387536,203.6227476
1.416666667,-59.91411958,-22.12047021,203.8098365
1.458333333,-59.90785992,-22.12245283,204.0637697
1.5,-59.90995205,-22.13064743,203.9074371
1.541666667,-59.91119085,-22.14013158,204.2264528
1.583333333,-59.91092324,-22.12373873,204.0246667
1.625,-59.90695829,-22.12292762,203.9748994
1.666666667,-59.90708957,-22.12521509,204.2245597
1.708333333,-59.90610422,-22.12348522,204.609195
1.75,-59.90741357,-22.12747474,204.3451887
1.791666667,-59.91546209,-22.1380808,204.9684811
1.833333333,-59.9046704,-22.12143423,205.0614906
1.875,-59.89964023,-22.12695658,205.0667673
1.916666667,-59.90792732,-22.12128796,205.1890094
1.958333333,-59.90233164,-22.12890712,205.238283
2,-59.89343955,-22.1285544,205.2747358
2.041666667,-59.88671221,-22.10969322,204.974673
2.083333333,-59.82957465,-22.11432169,205.2210849
2.125,-59.63018,-22.12039451,205.1860568
2.166666667,-59.16251116,-22.12873512,205.1982524
2.208333333,-58.92126675,-22.14327052,205.1726025
2.25,-58.71686156,-22.1627463,205.6763943
2.291666667,-58.09500591,-22.16737576,205.5088924
2.333333333,-57.75777777,-22.18633606,205.7927098
2.375,-57.10442574,-22.2006159,205.7089082
2.416666667,-56.74545809,-22.21827471,205.3654227
2.458333333,-56.08695203,-22.24279949,205.7386108
2.5,-55.78626633,-22.26258023,205.9415127
2.541666667,-55.13948733,-22.30300883,206.1807437
2.583333333,-54.77364916,-22.39358124,205.8854317
2.625,-54.03854214,-22.34943399,205.875016
2.666666667,-53.61456189,-22.38067895,206.7035394
2.708333333,-53.0702833,-22.45490229,206.0667308
2.75,-52.63893841,-22.68339276,205.934901
2.791666667,-51.99117432,-22.89209658,205.5627564
2.833333333,-51.56030173,-22.97961723,205.9382812
2.875,-50.97257766,-23.02655565,205.8086019
2.916666667,-50.19853888,-23.1043885,206.2571171
2.958333333,-49.90798319,-23.18075034,206.6205205
3,-49.43489594,-23.18640816,206.662183
3.041666667,-48.96114483,-23.1715509,206.2595449
3.083333333,-48.47240278,-23.28300751,206.8096962
3.125,-47.97259352,-23.32005416,207.0547717
3.166666667,-47.64685493,-23.4103705,206.9544006
3.208333333,-46.9658089,-23.49197925,206.6545399
3.25,-46.54873223,-23.62406687,207.0929423
3.291666667,-45.92124545,-23.83034651,206.6933834
3.333333333,-45.16035802,-23.96526122,206.632123
3.375,-44.80990369,-24.06310799,206.6550254
3.416666667,-44.10028559,-24.12146989,206.3774667
3.458333333,-43.83322989,-24.1639304,206.3235472
3.5,-43.14755046,-24.2532447,206.5539525
3.541666667,-42.73004208,-24.36742777,206.8641013
3.583333333,-41.95839675,-24.51256426,206.9336709
3.625,-41.51218273,-24.62794681,206.6348974
3.666666667,-40.97567634,-24.9055259,206.4528786
3.708333333,-40.50849277,-25.00015769,206.0902229
3.75,-39.91981624,-25.10780098,206.4144135
3.791666667,-39.1964678,-25.1935679,206.7948991
3.833333333,-38.79491676,-25.23724756,206.9168956
3.875,-38.11870478,-25.36630367,206.9738165
3.916666667,-37.72774266,-25.55505734,207.1071873
3.958333333,-37.13770321,-25.80564151,206.9602308
4,-36.82499947,-25.98360911,206.5217413
4.041666667,-36.1019975,-26.09825441,206.6625158
4.083333333,-35.86256599,-26.1595772,207.1121887
4.125,-35.41901365,-26.24682029,207.4125489
4.166666667,-34.97908236,-26.39080899,207.2966186
4.208333333,-34.57653183,-26.52267674,207.6809746
4.25,-34.00081102,-26.79644355,207.2398722
4.291666667,-33.67628753,-26.97988887,207.0006146
4.333333333,-32.98938146,-27.12315638,206.8248864
4.375,-32.66751458,-27.21609926,207.1168658
4.416666667,-32.10522028,-27.32054952,206.7866413
4.458333333,-31.78542464,-27.49620301,206.5287492
4.5,-31.16720655,-27.73264251,206.8918129
4.541666667,-30.73894974,-27.96492934,206.7400696
4.583333333,-30.03380444,-28.08728997,206.4922667
4.625,-29.71282832,-28.15195592,207.1477389
4.666666667,-29.10562918,-28.2773509,207.2573365
4.708333333,-28.7905347,-28.40341622,207.253538
4.75,-28.20039536,-28.76356933,207.2402875
4.791666667,-27.89548517,-29.03201942,207.2671013
4.833333333,-27.34468489,-29.14000753,206.9454204
4.875,-26.9717698,-29.26526548,207.5324508
4.916666667,-26.66733288,-29.3865271,207.632
4.958333333,-26.14673753,-29.65902303,207.4046538
5,-25.84272149,-29.93344032,207.1233587
5.041666667,-25.3615635,-30.07609185,206.9442816
5.083333333,-24.91551046,-30.17656601,207.1971514
5.125,-24.50897513,-30.31133257,207.1097256
5.166666667,-23.92223485,-30.61294072,207.0185016
5.208333333,-23.58734345,-30.86193063,206.8032159
5.25,-23.0028675,-31.06307741,206.9435353
5.291666667,-22.78339427,-31.15869463,207.3317215
5.333333333,-22.17347029,-31.34606988,207.1997066
5.375,-21.82549976,-31.63782925,207.695121
5.416666667,-21.15357325,-32.02336061,207.8372843
5.458333333,-20.87002498,-32.17221386,207.5181016
5.5,-20.30026678,-32.39076922,207.4302366
5.541666667,-19.98834965,-32.70223568,207.3263003
5.583333333,-19.69114416,-32.9903314,207.0838734
5.625,-19.12742112,-33.1347737,206.3620665
5.666666667,-18.85883949,-33.25885036,206.7970849
5.708333333,-18.26157508,-33.55999092,206.9396392
5.75,-17.93105596,-33.72095832,207.4175949
5.791666667,-17.71726155,-33.99111618,206.7862342
5.833333333,-17.16545254,-34.14095698,206.9224968
5.875,-16.86655579,-34.29079951,206.9577373
5.958333333,-15.9983353,-34.9860006,207.1783206
6,-15.77263594,-35.13644124,207.3675886
6.041666667,-15.14957358,-35.38101028,207.6182286
6.083333333,-14.84330974,-35.75686444,207.3140575
6.125,-14.32249765,-36.0276447,206.6414444
6.166666667,-13.96650048,-36.16674404,206.9318801
6.208333333,-13.78102969,-36.35801423,207.0603619
6.25,-13.22975414,-36.85575785,207.0079329
6.291666667,-12.91617616,-37.07978657,207.1701238
6.333333333,-12.43833632,-37.22929817,207.0617229
6.375,-11.98704621,-37.47369708,207.1397363
6.416666667,-11.71908874,-37.96356767,207.5106115
6.458333333,-11.19391701,-38.20045099,206.9151772
6.5,-10.947433,-38.3840587,207.0250665
6.541666667,-10.7254523,-38.83395965,206.6570222
6.583333333,-10.16548191,-39.06293431,206.5022943
6.625,-9.91037983,-39.20409887,206.675142
6.666666667,-9.51630544,-39.48756825,207.1864038
6.708333333,-8.998643454,-39.93760333,207.0577621
6.75,-8.815820118,-40.11845542,206.4871772
