desired_tick_rate_L desired_tick_rate_R state_odo_x state_odo_y state_odo_theta deltaleftEnc deltarightEnc pf_state_x pf_state_y pf_state_theta est_error_x est_error_y est_error_theta variance00 variance01 variance02 variance10 variance11 variance12 variance20 variance21 variance22
0 0 0.0 0.0 0.0 0 0 0.0383040551164 0.000551219009015 1.07740769425e-17 -0.0383040551164 -0.000551219009015 -1.07740769425e-17 6.66666684146e-05 3.76203729024e-22 1.49333671295e-21 3.76203729024e-22 4e-05 7.38940796849e-31 1.49333671295e-21 7.38940796849e-31 0.0002
-222.015813341 -243.013004357 0.0 0.0 0.0 0.0 0.0 0.00698147858196 -0.00604986548456 -1.06059340065e-17 -0.00698147858196 0.00604986548456 1.06059340065e-17 6.25000030091e-05 -1.02908565618e-12 -6.60644428481e-21 -1.02908565618e-12 3.68421056464e-05 2.90284337167e-20 -6.60644428481e-21 2.90284337167e-20 0.0003
-241.726850193 -220.226738169 0.0178347561191 9.32693452753e-05 0.0104591836735 111.0 121.0 0.00855514243141 0.00447035229558 0.010088643918 0.00927961368773 -0.0043770829503 0.000370539755496 6.19073214239e-05 -2.47490291107e-07 -1.32678791671e-06 -2.47490291107e-07 3.66254190201e-05 1.95414741919e-06 -1.32678791671e-06 1.95414741919e-06 0.000399803245309
-234.322014569 -190.602258719 0.0355157643407 0.000185734644471 0.0 120.0 110.0 0.0281690616169 0.0115065291767 0.000126276312837 0.00734670272385 -0.0113207945322 -0.000126276312837 6.1817002847e-05 6.22269990369e-08 5.32499527603e-07 6.22269990369e-08 3.66187620878e-05 2.38636730037e-06 5.32499527603e-07 2.38636730037e-06 0.000499356640538
-206.715718346 -186.442424422 0.051812185724 -1.7656194894e-06 -0.0230102040816 117.0 95.0 0.0446358533648 0.00808969025074 -0.023708979088 0.0071763323592 -0.00809145587023 0.000698775006357 6.18317795243e-05 5.29602671103e-07 4.55880821623e-06 5.29602671103e-07 3.65852314121e-05 1.27898275426e-06 4.55880821623e-06 1.27898275426e-06 0.000597653359116
-179.399266956 -188.279403982 0.0668736780625 -0.000427212191275 -0.0334693877551 103.0 93.0 0.0578093255739 0.00226538725457 -0.036129555733 0.00906435248865 -0.00269259944584 0.00266016797786 6.19230556319e-05 7.09387619629e-07 9.6093355112e-06 7.09387619629e-07 3.65477441053e-05 9.23147847418e-08 9.6093355112e-06 9.23147847418e-08 0.000694307198803
-170.253755154 -183.780668503 0.0809351071252 -0.000861209577068 -0.0282397959184 89.0 94.0 0.0649292264135 0.000516733230727 -0.0312523640623 0.0160058807117 -0.0013779428078 0.00301256814397 6.19705683731e-05 4.47207449155e-07 1.19977720773e-05 4.47207449155e-07 3.65617495782e-05 -1.63784097099e-07 1.19977720773e-05 -1.63784097099e-07 0.000791092440631
-163.086641929 -173.63586427 0.0944608446383 -0.00120080452286 -0.0219642857143 85.0 91.0 0.0739787122165 0.000376348464303 -0.0248938656198 0.0204821324218 -0.00157715298716 0.00292957990548 6.19551172568e-05 8.47079059147e-08 1.22261753936e-05 8.47079059147e-08 3.65846082888e-05 3.49343954616e-07 1.22261753936e-05 3.49343954616e-07 0.000888220230729
-144.844426113 -153.359656883 0.107296566399 -0.00144920019086 -0.0167346938776 81.0 86.0 0.0941139036421 0.000165664605554 -0.0195640565808 0.0131826627565 -0.00161486479642 0.00282936270324 6.19147410029e-05 -4.30016698036e-07 1.14375172999e-05 -4.30016698036e-07 3.66041525748e-05 8.90036932773e-07 1.14375172999e-05 8.90036932773e-07 0.000985693445738
-126.730437036 -151.707126966 0.118672846677 -0.00161579334456 -0.0125510204082 72.0 76.0 0.104479592522 -0.00309122744186 -0.0163177643095 0.0141932541548 0.00147543409731 0.00376674390136 6.18997580747e-05 3.53896386726e-07 1.03990701475e-05 3.53896386726e-07 3.65948617873e-05 1.29902565604e-06 1.03990701475e-05 1.29902565604e-06 0.00108351888119
