desired_tick_rate_L desired_tick_rate_R state_odo_x state_odo_y state_odo_theta deltaleftEnc deltarightEnc pf_state_x pf_state_y pf_state_theta est_error_x est_error_y est_error_theta variance00 variance01 variance02 variance10 variance11 variance12 variance20 variance21 variance22
-220.858020123 220.858020123 -0.239649 0.271399 1.57079632679 0 0 -0.139649 0.256438353333 1.57079632679 -0.1 0.0149606466671 0.0 4.00000000486e-05 6.37770540272e-22 4.78772129735e-22 6.37770540272e-22 6.66666666667e-05 2.3696640879e-30 4.78772129735e-22 2.3696640879e-30 0.0002
-188.505078947 188.505078947 -0.239649 0.271399 1.34069428598 110.0 -110.0 -0.139644477944 0.257615140475 1.34026630428 -0.100004522056 0.0137838595246 0.000427981701074 6.08353351881e-05 -4.81705341268e-06 4.28558146564e-06 -4.81705341268e-06 3.97389045081e-05 3.65697345432e-05 4.28558146564e-06 3.65697345432e-05 0.000278681805328
-160.858020123 160.858020123 -0.239649 0.271399 1.14406163292 94.0 -94.0 -0.136343830613 0.25955669689 1.165445074 -0.103305169387 0.0118423031103 -0.0213834410864 7.82178261916e-06 4.57941965957e-06 -6.70370460044e-05 4.57941965957e-06 0.000158994947984 -1.55588977933e-05 -6.70370460044e-05 -1.55588977933e-05 6.04040834557e-05
-137.328608359 137.328608359 -0.239649 0.271399 0.976714694142 80.0 -80.0 -0.142959785836 0.251634610318 0.97886386019 -0.0966892141644 0.0197643896817 -0.00214916604832 0.000102351762541 -5.39483337364e-05 3.98324492115e-05 -5.39483337364e-05 0.000166659486547 3.86758722487e-05 3.98324492115e-05 3.86758722487e-05 8.16678722468e-05
-117.328608359 117.328608359 -0.239649 0.271399 0.834469796183 68.0 -68.0 -0.159527130175 0.24739913866 0.819193226093 -0.080121869825 0.0239998613402 0.0152765700896 3.66300700701e-05 -1.53540264827e-05 -1.96764418813e-05 -1.53540264827e-05 5.08792322695e-05 6.04128613446e-05 -1.96764418813e-05 6.04128613446e-05 0.000166905628577
-100.269784829 100.269784829 -0.239649 0.271399 0.71314326557 58.0 -58.0 -0.196079124148 0.244629430136 0.681221833288 -0.043569875852 0.0267695698644 0.0319214322823 2.98540649352e-05 -8.28342620473e-06 -7.62105621799e-05 -8.28342620473e-06 5.76665787826e-05 4.78270101189e-05 -7.62105621799e-05 4.78270101189e-05 0.000244951887495
-85.5639024762 85.5639024762 -0.239649 0.271399 0.608551428836 50.0 -50.0 -0.198809853554 0.246891097175 0.585218206079 -0.040839146446 0.024507902825 0.0233332227572 4.89769918779e-05 -2.2571827622e-05 -2.71413139113e-05 -2.2571827622e-05 4.82770080406e-05 4.63325411354e-05 -2.71413139113e-05 4.63325411354e-05 0.000259643211503
-73.2109612997 73.2109612997 -0.239649 0.271399 0.520694285979 42.0 -42.0 -0.214423018862 0.258330008839 0.492947600926 -0.0252259811384 0.0130689911609 0.0277466850527 5.22161244342e-05 1.40192451432e-05 -2.51701420333e-05 1.40192451432e-05 6.0376547577e-05 5.33639733382e-05 -2.51701420333e-05 5.33639733382e-05 0.000353110782898
-62.6227260056 62.6227260056 -0.239649 0.271399 0.44538816353 36.0 -36.0 -0.225316990934 0.257610858188 0.414968886046 -0.0143320090662 0.0137881418124 0.0304192774835 5.57216948742e-05 9.52587148685e-06 -1.98573862649e-05 9.52587148685e-06 6.2175269953e-05 5.6495556899e-05 -1.98573862649e-05 5.6495556899e-05 0.000447891418964
-53.5050789468 53.5050789468 -0.239649 0.271399 0.380541224754 31.0 -31.0 -0.232473581786 0.259307548144 0.348423999231 -0.00717541821365 0.012091451856 0.0321172255232 5.93723214759e-05 4.62689847372e-06 -2.47648748324e-05 4.62689847372e-06 6.10686472245e-05 5.43052362587e-05 -2.47648748324e-05 5.43052362587e-05 0.000541724887292
-45.8580201232 45.8580201232 -0.239649 0.271399 0.326153469652 26.0 -26.0 -0.224771040074 0.250871966398 0.295405801429 -0.0148779599264 0.0205270336016 0.030747668223 6.13251689392e-05 1.33728680758e-06 -1.87922084949e-05 1.33728680758e-06 6.05972002198e-05 5.16331717431e-05 -1.87922084949e-05 5.16331717431e-05 0.000634626583375
-39.3874318879 39.3874318879 -0.239649 0.271399 0.280133061489 22.0 -22.0 -0.224123514482 0.25101381347 0.249559542398 -0.015525485518 0.0203851865301 0.0305735190907 6.18648710798e-05 -1.01272591863e-06 -2.21509065293e-05 -1.01272591863e-06 6.12182559073e-05 4.97216524626e-05 -2.21509065293e-05 4.97216524626e-05 0.000727777814831
-33.7991965938 33.7991965938 -0.239649 0.271399 0.24038816353 19.0 -19.0 -0.226029592602 0.259091244087 0.209785355 -0.0136194073981 0.0123077559135 0.03060280853 6.157787306e-05 -1.4742273687e-06 -1.9625496372e-05 -1.4742273687e-06 6.19867466927e-05 4.65308121284e-05 -1.9625496372e-05 4.65308121284e-05 0.000819047765586
-29.0933142409 29.0933142409 -0.239649 0.271399 0.206918775774 16.0 -16.0 -0.225286957236 0.266300422537 0.177009552057 -0.0143620427636 0.00509857746294 0.0299092237178 6.16627167117e-05 -8.2862262127e-07 -1.86419007279e-05 -8.2862262127e-07 6.20422877898e-05 4.22560592589e-05 -1.86419007279e-05 4.22560592589e-05 0.000910618647056
-24.9756671821 24.9756671821 -0.239649 0.271399 0.177633061489 14.0 -14.0 -0.236802604866 0.268071377466 0.144606701654 -0.00284639513359 0.00332762253444 0.033026359835 6.16391542646e-05 -7.12065656195e-07 -1.72092878591e-05 -7.12065656195e-07 6.20936233177e-05 3.77902317113e-05 -1.72092878591e-05 3.77902317113e-05 0.00100224556539
-21.4462554174 21.4462554174 -0.239649 0.271399 0.152531020672 12.0 -12.0 -0.23115609124 0.269578187019 0.121049577227 -0.00849290876029 0.00182081298094 0.0314814434453 6.16427702144e-05 -4.41187818291e-07 -1.41058992602e-05 -4.41187818291e-07 6.20713674435e-05 3.32686302123e-05 -1.41058992602e-05 3.32686302123e-05 0.00109523238301
