desired_tick_rate_L desired_tick_rate_R state_odo_x state_odo_y state_odo_theta deltaleftEnc deltarightEnc pf_state_x pf_state_y pf_state_theta est_error_x est_error_y est_error_theta variance00 variance01 variance02 variance10 variance11 variance12 variance20 variance21 variance22
-220.858020123 220.858020123 -0.239649 0.271399 1.57079632679 0 0 -0.0936145078081 0.262888480331 1.57079632679 -0.146034492192 0.00851051966887 0.0 4.00000000099e-05 -7.21301459221e-23 2.15728693279e-22 -7.21301459221e-23 6.66666666667e-05 7.64214428936e-38 2.15728693279e-22 7.64214428936e-38 0.0002
-188.505078947 188.505078947 -0.239649 0.271399 1.34069428598 110.0 -110.0 -0.14787396493 0.251759881538 1.29574799087 -0.0917750350695 0.0196391184618 0.0449462951089 6.07868763045e-05 -5.5987618405e-06 -2.179227613e-06 -5.5987618405e-06 3.76977714328e-05 2.73993191421e-05 -2.179227613e-06 2.73993191421e-05 0.000272228119292
-160.858020123 160.858020123 -0.239649 0.271399 1.14406163292 94.0 -94.0 -0.164022771579 0.215298047344 1.08256662407 -0.075626228421 0.056100952656 0.0614950088502 1.31760839688e-05 9.33719630279e-06 -3.88921277416e-05 9.33719630279e-06 8.32184216042e-05 3.79664332033e-05 -3.88921277416e-05 3.79664332033e-05 0.000227758827786
-137.328608359 137.328608359 -0.239649 0.271399 0.976714694142 80.0 -80.0 -0.195386782804 0.235346182057 1.04676964423 -0.0442622171959 0.0360528179429 -0.0700549500908 6.46062403395e-05 -3.77096621066e-05 -9.21123989997e-06 -3.77096621066e-05 0.000138030487215 2.54383861118e-05 -9.21123989997e-06 2.54383861118e-05 0.000112664075873
-117.328608359 117.328608359 -0.239649 0.271399 0.834469796183 68.0 -68.0 -0.221478514455 0.242784638165 0.931161101238 -0.018170485545 0.0286143618347 -0.096691305055 5.15498322732e-05 -3.05839168763e-05 -3.3350916742e-05 -3.05839168763e-05 0.000211063319471 9.5132064022e-06 -3.3350916742e-05 9.5132064022e-06 9.81950543514e-05
-100.269784829 100.269784829 -0.239649 0.271399 0.71314326557 58.0 -58.0 -0.228590473449 0.265127008648 0.81296372544 -0.011058526551 0.00627199135162 -0.0998204598691 0.000122597768016 -8.94767809095e-05 -3.11979449419e-05 -8.94767809095e-05 -2.84407527928e-05 3.22893731531e-05 -3.11979449419e-05 3.22893731531e-05 0.000145422649956
-85.5639024762 85.5639024762 -0.239649 0.271399 0.608551428836 50.0 -50.0 -0.243505364139 0.266032679885 0.706414482274 0.00385636413866 0.0053663201148 -0.0978630534384 -2.33061141863e-05 0.000123234496185 1.08126204184e-05 0.000123234496185 9.42317334822e-05 -4.68554885606e-06 1.08126204184e-05 -4.68554885606e-06 0.000100155740954
-73.2109612997 73.2109612997 -0.239649 0.271399 0.520694285979 42.0 -42.0 -0.246990350643 0.2640437623 0.620259675636 0.00734135064282 0.0073552376997 -0.0995653896577 -3.84707773172e-05 0.000128447207956 2.78434449967e-07 0.000128447207956 0.000115097651249 -1.19307509779e-05 2.78434449967e-07 -1.19307509779e-05 0.000115687466303
-62.6227260056 62.6227260056 -0.239649 0.271399 0.44538816353 36.0 -36.0 -0.251986889001 0.268232376616 0.540356982468 0.012337889001 0.0031666233841 -0.0949688189382 -4.5144098393e-06 0.000138355008785 -5.78382927786e-06 0.000138355008785 8.57051835313e-05 -1.34000732872e-05 -5.78382927786e-06 -1.34000732872e-05 0.00014275936412
-53.5050789468 53.5050789468 -0.239649 0.271399 0.380541224754 31.0 -31.0 -0.23522137381 0.264667874783 0.481195602413 -0.00442762619008 0.00673112521678 -0.100654377659 3.68061872746e-05 0.000130426842775 -5.20418252271e-06 0.000130426842775 4.66452206856e-05 -1.51256822533e-05 -5.20418252271e-06 -1.51256822533e-05 0.000175621920479
-45.8580201232 45.8580201232 -0.239649 0.271399 0.326153469652 26.0 -26.0 -0.235971077758 0.267197929163 0.42419180417 -0.00367792224168 0.00420107083723 -0.0980383345177 6.46976243629e-05 0.000106212845797 -6.81681537173e-06 0.000106212845797 2.03967575013e-05 -1.5960565386e-05 -6.81681537173e-06 -1.5960565386e-05 0.000208099091596
-39.3874318879 39.3874318879 -0.239649 0.271399 0.280133061489 22.0 -22.0 -0.246591544015 0.270398919522 0.37283623177 0.00694254401462 0.00100008047773 -0.0927031702807 8.01727058848e-05 7.44840320379e-05 -8.27077906948e-06 7.44840320379e-05 6.44492372336e-06 -1.68321607402e-05 -8.27077906948e-06 -1.68321607402e-05 0.000243134593932
-33.7991965938 33.7991965938 -0.239649 0.271399 0.24038816353 19.0 -19.0 -0.243274318018 0.267096955238 0.337044896708 0.00362531801814 0.00430204476161 -0.0966567331781 8.46160675276e-05 4.34126661555e-05 -9.62953741384e-06 4.34126661555e-05 3.39709368995e-06 -1.66399806964e-05 -9.62953741384e-06 -1.66399806964e-05 0.00028109578689
-29.0933142409 29.0933142409 -0.239649 0.271399 0.206918775774 16.0 -16.0 -0.237421619097 0.269099931036 0.302739434285 -0.00222738090251 0.0022990689642 -0.0958206585104 8.2717554417e-05 1.87696908209e-05 -1.19055993292e-05 1.87696908209e-05 6.38793785227e-06 -1.56898139081e-05 -1.19055993292e-05 -1.56898139081e-05 0.000317328812019
-24.9756671821 24.9756671821 -0.239649 0.271399 0.177633061489 14.0 -14.0 -0.239294790138 0.274578570293 0.267272893386 -0.0003542098621 -0.0031795702929 -0.0896398318968 7.80149788656e-05 -4.16968460544e-07 -1.31738620912e-05 -4.16968460544e-07 1.28751499485e-05 -1.49557320913e-05 -1.31738620912e-05 -1.49557320913e-05 0.000353737483379
-21.4462554174 21.4462554174 -0.239649 0.271399 0.152531020672 12.0 -12.0 -0.236966849429 0.268599671712 0.248576591221 -0.00268215057085 0.00279932828829 -0.096045570549 7.09359845628e-05 -7.41743426294e-06 -1.22325054476e-05 -7.41743426294e-06 2.33392491402e-05 -1.41778280072e-05 -1.22325054476e-05 -1.41778280072e-05 0.000392892419278
-18.5050789468 18.5050789468 -0.239649 0.271399 0.131612653326 10.0 -10.0 -0.237388715536 0.270755487685 0.225375730303 -0.0022602844645 0.000643512315138 -0.0937630769771 6.87678964949e-05 -2.82674356996e-06 -1.22838552232e-05 -2.82674356996e-06 2.5830990933e-05 -1.47535651938e-05 -1.22838552232e-05 -1.47535651938e-05 0.00043036314381
