desired_tick_rate_L desired_tick_rate_R state_odo_x state_odo_y state_odo_theta deltaleftEnc deltarightEnc pf_state_x pf_state_y pf_state_theta est_error_x est_error_y est_error_theta variance00 variance01 variance02 variance10 variance11 variance12 variance20 variance21 variance22
-220.858020123 220.858020123 -0.239649 0.271399 1.57079632679 0 0 -0.131318051752 0.275903239663 1.57079632679 -0.108330948248 -0.00450423966328 0.0 4.00000008396e-05 -6.63895123979e-22 1.99185080809e-21 -6.63895123979e-22 6.66666666667e-05 8.45750723365e-38 1.99185080809e-21 8.45750723365e-38 0.0002
-188.505078947 188.505078947 -0.239649 0.271399 1.34069428598 110.0 -110.0 -0.205571252384 0.258107239749 1.34972849452 -0.0340777476157 0.0132917602513 -0.00903420854036 6.08273755752e-05 -5.78614800246e-06 -3.96863570731e-06 -5.78614800246e-06 3.77948961355e-05 2.78562589615e-05 -3.96863570731e-06 2.78562589615e-05 0.00027181081613
-160.858020123 160.858020123 -0.239649 0.271399 1.14406163292 94.0 -94.0 -0.23093137344 0.26089527994 1.16892630774 -0.00871762656019 0.0105037200601 -0.02486467482 8.77083397402e-06 4.43546066451e-06 -6.92292515684e-05 4.43546066451e-06 0.000160480648854 -8.72701413361e-06 -6.92292515684e-05 -8.72701413361e-06 8.96491425204e-05
-137.328608359 137.328608359 -0.239649 0.271399 0.976714694142 80.0 -80.0 -0.213268119104 0.288212572603 1.06836909069 -0.0263808808957 -0.0168135726034 -0.0916543965448 0.000111786646126 -5.92352856338e-05 3.63221748296e-05 -5.92352856338e-05 0.000161110959489 4.26217807707e-05 3.63221748296e-05 4.26217807707e-05 0.000114869813615
-117.328608359 117.328608359 -0.239649 0.271399 0.834469796183 68.0 -68.0 -0.218554547025 0.306780337679 0.927523575088 -0.0210944529751 -0.0353813376794 -0.0930537789056 4.9023079032e-05 -2.18819866434e-05 -6.17250118425e-05 -2.18819866434e-05 4.98718177848e-05 6.58546185494e-05 -6.17250118425e-05 6.58546185494e-05 0.000200454912011
-100.269784829 100.269784829 -0.239649 0.271399 0.71314326557 58.0 -58.0 -0.227496423898 0.280641486565 0.813895827404 -0.0121525761023 -0.00924248656541 -0.100752561833 3.96103734387e-05 -3.87697497225e-06 -4.64930755149e-05 -3.87697497225e-06 6.04571918062e-05 6.12090025306e-05 -4.64930755149e-05 6.12090025306e-05 0.000209452881949
-85.5639024762 85.5639024762 -0.239649 0.271399 0.608551428836 50.0 -50.0 -0.236276682544 0.269156197869 0.714205678865 -0.00337231745578 0.00224280213149 -0.105654250029 4.73830344355e-05 -4.40663603774e-07 7.07816976621e-06 -4.40663603774e-07 2.30537834249e-05 -3.24828955677e-06 7.07816976621e-06 -3.24828955677e-06 0.000105711516626
-73.2109612997 73.2109612997 -0.239649 0.271399 0.520694285979 42.0 -42.0 -0.254024998457 0.274344475701 0.628288402379 0.0143759984575 -0.00294547570071 -0.107594116401 5.72467930792e-05 9.33958427619e-06 -1.0292620475e-05 9.33958427619e-06 1.63102750248e-05 -1.54224785142e-05 -1.0292620475e-05 -1.54224785142e-05 0.000116448491335
-62.6227260056 62.6227260056 -0.239649 0.271399 0.44538816353 36.0 -36.0 -0.24862939142 0.270430742127 0.542104973485 0.0089803914201 0.000968257872869 -0.0967168099556 6.47933909907e-05 1.67867109521e-05 -8.31518045238e-06 1.67867109521e-05 1.22238368641e-05 -1.27623753033e-05 -8.31518045238e-06 -1.27623753033e-05 0.000140208288015
-53.5050789468 53.5050789468 -0.239649 0.271399 0.380541224754 31.0 -31.0 -0.24690847267 0.269573783004 0.47660886258 0.00725947267046 0.00182521699617 -0.0960676378257 7.17544510191e-05 1.78640415987e-05 -9.28487251711e-06 1.78640415987e-05 8.72828503642e-06 -1.35056057391e-05 -9.28487251711e-06 -1.35056057391e-05 0.000173164552397
-45.8580201232 45.8580201232 -0.239649 0.271399 0.326153469652 26.0 -26.0 -0.244557651794 0.270124914907 0.415885922638 0.00490865179423 0.00127408509345 -0.0897324529861 7.73214926987e-05 1.28878836399e-05 -1.00681786854e-05 1.28878836399e-05 5.91363592006e-06 -1.42730837515e-05 -1.00681786854e-05 -1.42730837515e-05 0.000207157391651
-39.3874318879 39.3874318879 -0.239649 0.271399 0.280133061489 22.0 -22.0 -0.241053203884 0.270603245098 0.360038925321 0.00140420388371 0.000795754902459 -0.0799058638317 7.95154344852e-05 3.70699842599e-06 -1.13202842338e-05 3.70699842599e-06 6.98206158932e-06 -1.43979168144e-05 -1.13202842338e-05 -1.43979168144e-05 0.000243719417611
-33.7991965938 33.7991965938 -0.239649 0.271399 0.24038816353 19.0 -19.0 -0.23942530956 0.260385897417 0.306844358108 -0.00022369044019 0.0110131025826 -0.0664561945784 7.68067436775e-05 -5.23319414037e-06 -1.19561482805e-05 -5.23319414037e-06 1.33610015252e-05 -1.39607305844e-05 -1.19561482805e-05 -1.39607305844e-05 0.000283607983839
-29.0933142409 29.0933142409 -0.239649 0.271399 0.206918775774 16.0 -16.0 -0.229105094604 0.261666931596 0.276865205013 -0.0105439053958 0.00973206840357 -0.0699464292383 7.29428079842e-05 -4.7159265402e-06 -1.12294885877e-05 -4.7159265402e-06 1.94813298929e-05 -1.29502564231e-05 -1.12294885877e-05 -1.29502564231e-05 0.00032857936878
-24.9756671821 24.9756671821 -0.239649 0.271399 0.177633061489 14.0 -14.0 -0.236286125483 0.264920300695 0.246944824511 -0.0033628745174 0.00647869930487 -0.0693117630223 6.99128962572e-05 -4.23041952464e-06 -1.23525819711e-05 -4.23041952464e-06 2.4002858552e-05 -1.34881552006e-05 -1.23525819711e-05 -1.34881552006e-05 0.000372623398532
-21.4462554174 21.4462554174 -0.239649 0.271399 0.152531020672 12.0 -12.0 -0.248090898414 0.260536928402 0.215311715386 0.00844189841357 0.0108620715975 -0.0627806947132 6.76104299106e-05 -3.73505198919e-06 -1.13879039059e-05 -3.73505198919e-06 2.73002236662e-05 -1.35027160595e-05 -1.13879039059e-05 -1.35027160595e-05 0.000417315769381
-18.5050789468 18.5050789468 -0.239649 0.271399 0.131612653326 10.0 -10.0 -0.247588138223 0.259867225722 0.189298280135 0.00793913822264 0.0115317742785 -0.0576856268099 6.58692597087e-05 -3.31320257728e-06 -1.05585008501e-05 -3.31320257728e-06 2.98866950761e-05 -1.24896198491e-05 -1.05585008501e-05 -1.24896198491e-05 0.000466448759772
-15.8580201232 15.8580201232 -0.239649 0.271399 0.112786122713 9.0 -9.0 -0.238776697843 0.262277128778 0.174721311388 -0.000872302157423 0.00912187122212 -0.0619351886748 6.46899942888e-05 -2.84249316645e-06 -1.04308955797e-05 -2.84249316645e-06 3.17369296844e-05 -1.20977391328e-05 -1.04308955797e-05 -1.20977391328e-05 0.000519487977424
-13.7991965938 13.7991965938 -0.239649 0.271399 0.0981432655704 7.0 -7.0 -0.237968351241 0.271323060099 0.14923821363 -0.00168064875921 7.59399011748e-05 -0.0510949480599 6.40802808819e-05 -2.5652717662e-06 -1.13283238225e-05 -2.5652717662e-06 3.26954689136e-05 -1.27602733795e-05 -1.13283238225e-05 -1.27602733795e-05 0.000570047212757
-12.0344907115 12.0344907115 -0.239649 0.271399 0.0855922451622 6.0 -6.0 -0.249660171575 0.268824995187 0.131078912097 0.0100111715745 0.00257400481301 -0.045486666935 6.34792393094e-05 -2.25367373717e-06 -1.00305007034e-05 -2.25367373717e-06 3.37326230297e-05 -1.20702060009e-05 -1.00305007034e-05 -1.20702060009e-05 0.000626303442624
-10.2697848291 10.2697848291 -0.239649 0.271399 0.0730412247541 6.0 -6.0 -0.236681432326 0.271000870072 0.126041798498 -0.00296756767449 0.000398129927705 -0.0530005737437 6.30239441301e-05 -1.95673348496e-06 -9.17319279881e-06 -1.95673348496e-06 3.44913085406e-05 -1.11520393767e-05 -9.17319279881e-06 -1.11520393767e-05 0.000687786960344
-8.79919659383 8.79919659383 -0.239649 0.271399 0.0625820410806 5.0 -5.0 -0.240251865881 0.268695961728 0.109205344278 0.000602865881041 0.00270303827206 -0.0466233031978 6.28763196407e-05 -1.8513274801e-06 -1.0895150431e-05 -1.8513274801e-06 3.47785671007e-05 -1.2278353544e-05 -1.0895150431e-05 -1.2278353544e-05 0.000745333225951
-7.6227260056 7.6227260056 -0.239649 0.271399 0.0542146941418 4.0 -4.0 -0.244557541928 0.269359718668 0.0990617579238 0.00490854192788 0.00203928133211 -0.044847063782 6.26409588388e-05 -1.6607262087e-06 -9.22235362421e-06 -1.6607262087e-06 3.51556914006e-05 -1.09948421595e-05 -9.22235362421e-06 -1.09948421595e-05 0.000806908206109
0 0 -0.239649 0.271399 0.0479391839378 3.0 -3.0 -0.2490904657 0.267091371031 0.0949114306219 0.00944146569951 0.0043076289691 -0.0469722466842 6.24931258647e-05 -1.53075817086e-06 -9.49898420123e-06 -1.53075817086e-06 3.54342232219e-05 -1.11227474728e-05 -9.49898420123e-06 -1.11227474728e-05 0.000870122298317
