desired_tick_rate_L desired_tick_rate_R state_odo_x state_odo_y state_odo_theta deltaleftEnc deltarightEnc pf_state_x pf_state_y pf_state_theta est_error_x est_error_y est_error_theta variance00 variance01 variance02 variance10 variance11 variance12 variance20 variance21 variance22
-220.858020123 220.858020123 -0.239649 0.271399 1.57079632679 0 0 -0.226212119758 0.245135507209 1.85496750426 -0.0134368802417 0.0262634927906 -0.284171177469 3.75940348185e-05 -1.28787737616e-06 8.84110451332e-06 -1.28787737616e-06 6.64526989717e-05 -2.59755668132e-05 8.84110451332e-06 -2.59755668132e-05 0.000178318935162
-188.505078947 188.505078947 -0.239649 0.271399 1.34069428598 110.0 -110.0 -0.231950991232 0.255341969795 1.62834075814 -0.00769800876797 0.0160570302051 -0.287646472164 6.16520351764e-05 1.40426872462e-05 -2.27629357747e-05 1.40426872462e-05 3.67452953117e-05 -2.19871997315e-05 -2.27629357747e-05 -2.19871997315e-05 0.000272074982543
-160.858020123 160.858020123 -0.239649 0.271399 1.14406163292 94.0 -94.0 -0.230931978806 0.274101531578 1.4313352334 -0.0087170211941 -0.00270253157818 -0.287273600484 2.0648200615e-05 -2.3888745101e-07 -1.68306442061e-05 -2.3888745101e-07 7.70340305293e-05 2.54166364853e-05 -1.68306442061e-05 2.54166364853e-05 0.000360191502327
-137.328608359 137.328608359 -0.239649 0.271399 0.976714694142 80.0 -80.0 -0.245737822307 0.212598010859 1.25997101344 0.00608882230682 0.0588009891411 -0.283256319297 8.77258255688e-05 -1.91413935976e-05 -2.84497921681e-05 -1.91413935976e-05 1.56262082278e-05 5.20569095465e-05 -2.84497921681e-05 5.20569095465e-05 0.000365371891377
-117.328608359 117.328608359 -0.239649 0.271399 0.834469796183 68.0 -68.0 -0.269364311073 0.210152520402 1.05279957991 0.0297153110725 0.0612464795981 -0.218329783727 -2.79281461537e-05 3.05179272945e-05 -7.12316321193e-05 3.05179272945e-05 0.000183627155852 1.29983901036e-05 -7.12316321193e-05 1.29983901036e-05 0.000142403773081
-100.269784829 100.269784829 -0.239649 0.271399 0.71314326557 58.0 -58.0 -0.241961909814 0.193342691468 0.884611241284 0.00231290981446 0.0780563085319 -0.171467975713 8.36620489642e-05 -5.15085413848e-05 4.52316253291e-05 -5.15085413848e-05 0.000223625392241 4.93024021081e-05 4.52316253291e-05 4.93024021081e-05 0.000128282438925
-85.5639024762 85.5639024762 -0.239649 0.271399 0.608551428836 50.0 -50.0 -0.27003028586 0.183786921684 0.802047441924 0.0303812858596 0.0876120783161 -0.193496013088 5.50561177728e-05 -3.37153109253e-05 3.51725267982e-05 -3.37153109253e-05 3.36875260815e-05 -3.53806030541e-05 3.51725267982e-05 -3.53806030541e-05 0.000107447077858
-73.2109612997 73.2109612997 -0.239649 0.271399 0.520694285979 42.0 -42.0 -0.282852633297 0.17312797916 0.74899566767 0.0432036332973 0.0982710208396 -0.228301381692 1.09990696186e-06 3.90881212956e-05 3.46214251583e-05 3.90881212956e-05 7.21488404129e-05 -2.43212448085e-05 3.46214251583e-05 -2.43212448085e-05 0.000105366526557
-62.6227260056 62.6227260056 -0.239649 0.271399 0.44538816353 36.0 -36.0 -0.2987858991 0.162081609987 0.717986624508 0.0591368990997 0.109317390013 -0.272598460978 -5.27386486749e-06 2.99740681034e-05 4.88632512829e-05 2.99740681034e-05 7.93197819983e-05 -2.36982920464e-05 4.88632512829e-05 -2.36982920464e-05 0.000108818260649
-53.5050789468 53.5050789468 -0.239649 0.271399 0.380541224754 31.0 -31.0 -0.309630953121 0.15549074145 0.684551253004 0.0699819531205 0.11590825855 -0.30401002825 9.7193047389e-07 2.63968355744e-05 5.70353794939e-05 2.63968355744e-05 7.16823413408e-05 -2.63474581354e-05 5.70353794939e-05 -2.63474581354e-05 0.000111061179893
-45.8580201232 45.8580201232 -0.239649 0.271399 0.326153469652 26.0 -26.0 -0.316562402718 0.149049683896 0.667066690425 0.0769134027179 0.122349316104 -0.340913220773 -1.98380108565e-06 3.33707746833e-05 6.31297361763e-05 3.33707746833e-05 7.25471591575e-05 -2.32543403053e-05 6.31297361763e-05 -2.32543403053e-05 0.000111732106707
-39.3874318879 39.3874318879 -0.239649 0.271399 0.280133061489 22.0 -22.0 -0.329832586478 0.143716864422 0.659280436623 0.0901835864782 0.127682135578 -0.379147375134 -9.64598921044e-06 4.61499372934e-05 6.80243911794e-05 4.61499372934e-05 7.99276224934e-05 -2.36419084843e-05 6.80243911794e-05 -2.36419084843e-05 0.000113927170886
