desired_tick_rate_L desired_tick_rate_R state_odo_x state_odo_y state_odo_theta deltaleftEnc deltarightEnc pf_state_x pf_state_y pf_state_theta est_error_x est_error_y est_error_theta variance00 variance01 variance02 variance10 variance11 variance12 variance20 variance21 variance22
-220.858020123 220.858020123 -0.239649 0.271399 1.57079632679 0 0 -0.226773308838 0.253025685554 1.85700121909 -0.0128756911624 0.0183733144463 -0.286204892297 3.75940348185e-05 -1.28787737616e-06 8.84110451332e-06 -1.28787737616e-06 6.64526989717e-05 -2.59755668132e-05 8.84110451332e-06 -2.59755668132e-05 0.000178318935162
-188.505078947 188.505078947 -0.239649 0.271399 1.34069428598 110.0 -110.0 -0.232474494728 0.24920353559 1.62729198727 -0.00717450527165 0.0221954644096 -0.286597701291 6.15580810674e-05 1.41796665727e-05 -2.26743352072e-05 1.41796665727e-05 3.68102307582e-05 -2.23460831639e-05 -2.26743352072e-05 -2.23460831639e-05 0.000271863017841
-160.858020123 160.858020123 -0.239649 0.271399 1.14406163292 94.0 -94.0 -0.240323029781 0.27512495791 1.42485150746 0.000674029781103 -0.00372595791038 -0.280789874544 2.08218039549e-05 -2.62227460448e-07 -1.73441577899e-05 -2.62227460448e-07 7.68611601877e-05 2.5086677983e-05 -1.73441577899e-05 2.5086677983e-05 0.000359872857095
-137.328608359 137.328608359 -0.239649 0.271399 0.976714694142 80.0 -80.0 -0.254815916135 0.220424560021 1.25124885971 0.015166916135 0.0509744399793 -0.274534165563 8.73089579936e-05 -1.96253762546e-05 -2.84123133756e-05 -1.96253762546e-05 1.61764101905e-05 5.33951529631e-05 -2.84123133756e-05 5.33951529631e-05 0.000360977959668
-117.328608359 117.328608359 -0.239649 0.271399 0.834469796183 68.0 -68.0 -0.264341694662 0.216520635001 1.05843619026 0.024692694662 0.0548783649993 -0.22396639408 -2.73861675253e-05 3.05579360464e-05 -7.31244750179e-05 3.05579360464e-05 0.00018340258372 1.44881769177e-05 -7.31244750179e-05 1.44881769177e-05 0.00015329222305
-100.269784829 100.269784829 -0.239649 0.271399 0.71314326557 58.0 -58.0 -0.25082761817 0.204693092501 0.901736664251 0.0111786181705 0.0667059074991 -0.18859339868 8.39166453905e-05 -5.1118209898e-05 4.64630903544e-05 -5.1118209898e-05 0.000223553198468 5.12283860183e-05 4.64630903544e-05 5.12283860183e-05 0.000131501311087
-85.5639024762 85.5639024762 -0.239649 0.271399 0.608551428836 50.0 -50.0 -0.26652099266 0.203585534373 0.800216751944 0.0268719926601 0.0678134656271 -0.191665323108 5.75298486956e-05 -3.40600935623e-05 3.27308439262e-05 -3.40600935623e-05 3.32366772105e-05 -3.8879771214e-05 3.27308439262e-05 -3.8879771214e-05 0.000108114991081
-73.2109612997 73.2109612997 -0.239649 0.271399 0.520694285979 42.0 -42.0 -0.283424707786 0.194599449833 0.742181306159 0.043775707786 0.076799550167 -0.22148702018 3.1184168073e-06 4.04645433559e-05 2.80658954601e-05 4.04645433559e-05 7.06136358307e-05 -2.71684520767e-05 2.80658954601e-05 -2.71684520767e-05 0.000102929309814
-62.6227260056 62.6227260056 -0.239649 0.271399 0.44538816353 36.0 -36.0 -0.305493151275 0.18496200965 0.706461922328 0.0658441512746 0.0864369903497 -0.261073758799 -6.15157497925e-06 3.02593502507e-05 4.5974982944e-05 3.02593502507e-05 8.12581630735e-05 -2.29044793902e-05 4.5974982944e-05 -2.29044793902e-05 0.000108425688917
-53.5050789468 53.5050789468 -0.239649 0.271399 0.380541224754 31.0 -31.0 -0.316175256697 0.176232875895 0.681054944871 0.0765262566974 0.095166124105 -0.300513720117 2.10293856514e-06 2.47788321249e-05 5.49977239649e-05 2.47788321249e-05 7.17507544375e-05 -2.82491208414e-05 5.49977239649e-05 -2.82491208414e-05 0.000112766139351
-45.8580201232 45.8580201232 -0.239649 0.271399 0.326153469652 26.0 -26.0 -0.316307578276 0.168728542531 0.664710187479 0.0766585782763 0.102670457469 -0.338556717827 -4.80668125e-07 3.08338058807e-05 6.18287285148e-05 3.08338058807e-05 7.15527401978e-05 -2.37595480806e-05 6.18287285148e-05 -2.37595480806e-05 0.00011260766124
-39.3874318879 39.3874318879 -0.239649 0.271399 0.280133061489 22.0 -22.0 -0.321071135798 0.163622784998 0.649783835783 0.081422135798 0.107776215002 -0.369650774295 -7.22593369901e-06 4.25787974632e-05 6.66972302589e-05 4.25787974632e-05 7.7824773391e-05 -2.45478531839e-05 6.66972302589e-05 -2.45478531839e-05 0.000112991321323
-33.7991965938 33.7991965938 -0.239649 0.271399 0.24038816353 19.0 -19.0 -0.329449275788 0.156973973146 0.654158873395 0.0898002757875 0.114425026854 -0.413770709865 -1.23410563078e-05 5.84884440967e-05 7.26391223527e-05 5.84884440967e-05 8.40253683546e-05 -2.46730403866e-05 7.26391223527e-05 -2.46730403866e-05 0.000115544152777
-29.0933142409 29.0933142409 -0.239649 0.271399 0.206918775774 16.0 -16.0 -0.336475460118 0.151837947415 0.653322666457 0.0968264601184 0.119561052585 -0.446403890682 -1.93128268733e-05 7.73370400172e-05 7.91951963655e-05 7.73370400172e-05 9.20656091564e-05 -2.56619192311e-05 7.91951963655e-05 -2.56619192311e-05 0.000118923664114
-24.9756671821 24.9756671821 -0.239649 0.271399 0.177633061489 14.0 -14.0 -0.341102888092 0.145837109496 0.658929012205 0.101453888092 0.125561890504 -0.481295950716 -2.66392736013e-05 9.95539835438e-05 8.67428711512e-05 9.95539835438e-05 0.000100829585304 -2.66579668209e-05 8.67428711512e-05 -2.66579668209e-05 0.000123037325038
-21.4462554174 21.4462554174 -0.239649 0.271399 0.152531020672 12.0 -12.0 -0.328681594463 0.138538482443 0.66252440224 0.0890325944631 0.132860517557 -0.509993381567 -3.83137954737e-05 0.000125691086631 9.55450133557e-05 0.000125691086631 0.000113734680809 -2.72503102401e-05 9.55450133557e-05 -2.72503102401e-05 0.000126572865818
-18.5050789468 18.5050789468 -0.239649 0.271399 0.131612653326 10.0 -10.0 -0.338174818596 0.133666572593 0.670993563281 0.0985258185961 0.137732427407 -0.539380909956 -5.24579139335e-05 0.000156528323479 0.000106043207657 0.000156528323479 0.000129243678606 -2.73406077957e-05 0.000106043207657 -2.73406077957e-05 0.000126611945464
-15.8580201232 15.8580201232 -0.239649 0.271399 0.112786122713 9.0 -9.0 -0.335795767816 0.126059428713 0.684943757731 0.0961467678157 0.145339571287 -0.572157635018 -7.30190112471e-05 0.000193096916273 0.000116921492566 0.000193096916273 0.00015076563068 -2.72446501433e-05 0.000116921492566 -2.72446501433e-05 0.000130051483991
-13.7991965938 13.7991965938 -0.239649 0.271399 0.0981432655704 7.0 -7.0 -0.335392411403 0.120684189528 0.692539775208 0.0957434114033 0.150714810472 -0.594396509638 -0.000106093904019 0.000236880165976 0.000129789758037 0.000236880165976 0.000184633140407 -2.60595138135e-05 0.000129789758037 -2.60595138135e-05 0.000131585217293
-12.0344907115 12.0344907115 -0.239649 0.271399 0.0855922451622 6.0 -6.0 -0.335736811119 0.111915244996 0.715214513071 0.0960878111191 0.159483755004 -0.629622267908 -0.000143392121616 0.00029062200467 0.000143563641353 0.00029062200467 0.000223107693273 -2.56223350664e-05 0.000143563641353 -2.56223350664e-05 0.000133766108575
-10.2697848291 10.2697848291 -0.239649 0.271399 0.0730412247541 6.0 -6.0 -0.327201740034 0.104119513541 0.726678044199 0.0875527400342 0.167279486459 -0.653636819445 -0.000210128801874 0.00035263329895 0.000160047706289 0.00035263329895 0.000290158824214 -2.09826263409e-05 0.000160047706289 -2.09826263409e-05 0.000134753788926
