desired_tick_rate_L desired_tick_rate_R state_odo_x state_odo_y state_odo_theta deltaleftEnc deltarightEnc pf_state_x pf_state_y pf_state_theta est_error_x est_error_y est_error_theta variance00 variance01 variance02 variance10 variance11 variance12 variance20 variance21 variance22
-220.858020123 220.858020123 -0.239649 0.271399 1.57079632679 0 0 -0.133456597362 0.0910269455587 1.57079632679 -0.106192402638 0.180372054441 0.0 4.00000008396e-05 -4.96807513062e-22 1.99185080809e-21 -4.96807513062e-22 6.66666666667e-05 -5.92415987622e-31 1.99185080809e-21 -5.92415987622e-31 0.0002
-188.505078947 188.505078947 -0.239649 0.271399 1.34069428598 110.0 -110.0 -0.212674254642 0.185633668479 1.32727915768 -0.0269747453577 0.0857653315214 0.0134151283014 6.08332357764e-05 -5.69363100957e-06 -4.19120824201e-06 -5.69363100957e-06 3.64873564378e-05 2.06393657559e-05 -4.19120824201e-06 2.06393657559e-05 0.000275310439694
-160.858020123 160.858020123 -0.239649 0.271399 1.14406163292 94.0 -94.0 -0.231939784458 0.215012855049 1.17031173247 -0.00770921554161 0.0563861449511 -0.0262500995487 1.22904094009e-05 7.56236441738e-06 -3.51391561834e-05 7.56236441738e-06 8.26245009906e-05 3.73917609134e-05 -3.51391561834e-05 3.73917609134e-05 0.000246755478801
-137.328608359 137.328608359 -0.239649 0.271399 0.976714694142 80.0 -80.0 -0.217732929861 0.227648829863 1.09261200664 -0.0219160701392 0.0437501701375 -0.115897312497 7.57927782315e-05 -3.78885651163e-05 -2.95125814623e-05 -3.78885651163e-05 0.000129135005799 2.30436315087e-05 -2.95125814623e-05 2.30436315087e-05 0.000143147350615
-117.328608359 117.328608359 -0.239649 0.271399 0.834469796183 68.0 -68.0 -0.237561828882 0.230859088983 0.95096684335 -0.002087171118 0.0405399110167 -0.116497047167 4.28087658638e-05 -2.09678527633e-05 -9.50979263239e-06 -2.09678527633e-05 0.000213364343909 2.53502881323e-05 -9.50979263239e-06 2.53502881323e-05 0.000116888866394
-100.269784829 100.269784829 -0.239649 0.271399 0.71314326557 58.0 -58.0 -0.239343720008 0.231412215241 0.834287306127 -0.000305279992437 0.0399867847594 -0.121144040556 0.00011434243568 -8.95846684184e-05 -2.60760683943e-05 -8.95846684184e-05 0.00021825594329 6.66554266623e-06 -2.60760683943e-05 6.66554266623e-06 8.7445874608e-05
-85.5639024762 85.5639024762 -0.239649 0.271399 0.608551428836 50.0 -50.0 -0.246196145083 0.258290651598 0.729223055294 0.00654714508299 0.0131083484017 -0.120671626458 3.10161395226e-05 1.68053321271e-05 3.84371682636e-06 1.68053321271e-05 4.0818915366e-05 -1.69101786451e-05 3.84371682636e-06 -1.69101786451e-05 8.48535674024e-05
-73.2109612997 73.2109612997 -0.239649 0.271399 0.520694285979 42.0 -42.0 -0.235254984793 0.266152284958 0.640813703507 -0.00439401520716 0.00524671504236 -0.120119417529 3.40667605515e-05 1.41411058898e-05 -1.42185996973e-05 1.41411058898e-05 3.75996436924e-05 -1.17275286391e-05 -1.42185996973e-05 -1.17275286391e-05 0.000104071344887
-62.6227260056 62.6227260056 -0.239649 0.271399 0.44538816353 36.0 -36.0 -0.241482122431 0.25969649726 0.544207198435 0.0018331224308 0.0117025027403 -0.0988190349051 4.13420675063e-05 1.46451017047e-05 -4.42839162215e-06 1.46451017047e-05 3.56043937372e-05 -1.18832805574e-05 -4.42839162215e-06 -1.18832805574e-05 0.000130353465321
-53.5050789468 53.5050789468 -0.239649 0.271399 0.380541224754 31.0 -31.0 -0.24427995615 0.267017896637 0.484885731118 0.00463095615037 0.00438110336272 -0.104344506364 5.21532873945e-05 1.42625463659e-05 -1.34327181262e-05 1.42625463659e-05 2.95293271713e-05 -1.29386768399e-05 -1.34327181262e-05 -1.29386768399e-05 0.000166791442574
-45.8580201232 45.8580201232 -0.239649 0.271399 0.326153469652 26.0 -26.0 -0.246548900537 0.25893245247 0.411193067086 0.00689990053728 0.0124665475295 -0.085039597434 6.20275417078e-05 1.17761511525e-05 -7.2508317763e-06 1.17761511525e-05 2.22374729695e-05 -1.43175899464e-05 -7.2508317763e-06 -1.43175899464e-05 0.000199284887742
-39.3874318879 39.3874318879 -0.239649 0.271399 0.280133061489 22.0 -22.0 -0.243807891853 0.275130936588 0.372124016238 0.00415889185344 -0.00373193658782 -0.0919909547488 6.94692938165e-05 5.22946369174e-06 -1.10437595456e-05 5.22946369174e-06 1.82256897213e-05 -1.23527225503e-05 -1.10437595456e-05 -1.23527225503e-05 0.0002407634086
-33.7991965938 33.7991965938 -0.239649 0.271399 0.24038816353 19.0 -19.0 -0.254140255489 0.275429136093 0.328014324453 0.0144912554886 -0.00403013609262 -0.0876261609235 7.17703919314e-05 -1.64477798397e-06 -1.13700486182e-05 -1.64477798397e-06 1.83367476103e-05 -1.53793728826e-05 -1.13700486182e-05 -1.53793728826e-05 0.000277580877404
-29.0933142409 29.0933142409 -0.239649 0.271399 0.206918775774 16.0 -16.0 -0.240420510037 0.278450506627 0.300291575088 0.000771510037164 -0.0070515066268 -0.0933727993131 7.07981956368e-05 -4.74223190139e-06 -1.09163404927e-05 -4.74223190139e-06 2.1329208372e-05 -1.41366945531e-05 -1.09163404927e-05 -1.41366945531e-05 0.000316078967724
