desired_tick_rate_L desired_tick_rate_R state_est_x state_est_y state_est_theta deltaleftEnc deltarightEnc
-25 25 0.0 0.0 0.0 0 0
-25 25 0.0 0.0 0.0 0.0 0.0
-25 25 -0.000473238094608 0.0 -0.027900658639 10.0 -16.0
-25 25 -0.0014981882356 2.8604206675e-05 -0.177061872132 63.0 -76.0
-25 25 -0.00188638759676 9.80669406151e-05 -0.388463016436 96.0 -101.0
-25 25 -0.00174039485756 3.83180446729e-05 -0.622399308101 110.0 -108.0
-25 25 -0.00167631194936 -7.6638375506e-06 -0.872432133597 117.0 -116.0
-25 25 -0.00162559930621 -6.80722843203e-05 -1.08168707339 98.0 -97.0
-25 25 -0.00177383002348 0.000210428876033 -1.33708541016 117.0 -121.0
-25 25 -0.00166423321997 -0.000249943619724 -1.5860451334 119.0 -113.0
-25 25 -0.00166784123824 -0.000486535157508 -1.83178554988 116.0 -113.0
-25 25 -0.00164748912909 -0.000410333161014 -2.08611078439 118.0 -119.0
-25 25 -0.00176409700565 -0.000616224337787 -2.33614360989 118.0 -115.0
-25 25 -0.00165481252987 -0.000502467079471 -2.58724953764 116.0 -118.0
-25 25 -0.00178893552491 -0.000585502208587 -2.83191685186 115.0 -113.0
-25 25 -0.00186405674213 -0.000609538750325 -3.12272756306 136.0 -135.0
-25 25 -0.00210063368532 -0.000614002325304 2.91042491862 118.0 -115.0
0 0 -0.00240773350615 -0.00054171856567 2.66146519538 118.0 -114.0
