TickRate TargTicks LeftTicks RightTicks AvgTicks MeasuredDist
10 30000 -30014.0 -29950.0 -29982.0 457.5
10 6000 -6008.0 -6004.0 -6006.0 92.5
10 6000 -6028.0 -6028.0 -6028.0 93
10 6000 -6010.0 -6025.0 -6017.5 93
10 6000 -6021.0 -6027.0 -6024.0 92.5
40 15000 -15078.0 -15076.0 -15077.0 236.5
40 15000 -15034.0 -15040.0 -15037.0 235.5
40 15000 -15034.0 -15019.0 -15026.5 235
40 15000 -15017.0 -15013.0 -15015.0 235
40 15000 -15144.0 -15153.0 -15148.5 237
70 25000 -25237.0 -25247.0 -25242.0 396.5
70 25000 -25061.0 -24961.0 -25011.0 391
70 25000 -25257.0 -25273.0 -25265.0 396.5
70 25000 -25099.0 -25184.0 -25141.5 393.5
70 25000 -25215.0 -25177.0 -25196.0 395
